City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
bowen,-20.0167,148.2333,293.52,85,2,5.81,AU,1621775775
basar,27.9833,94.6667,296.88,90,8,0.05,IN,1621775777
kibre mengist,5.8833,38.9833,293.93,71,100,2.86,ET,1621775779
san patricio,28.017,-97.5169,298.2,91,71,2.77,US,1621775780
san cristobal,7.7669,-72.225,295.25,61,100,3.06,VE,1621775781
sitka,57.0531,-135.33,280.09,81,90,3.09,US,1621775783
maputo,-25.9653,32.5892,297.72,63,20,3.6,MZ,1621775784
guerrero negro,27.9769,-114.0611,286.97,79,0,5.47,MX,1621775785
hit,33.6416,42.8251,306.23,14,95,6.89,IQ,1621775786
umm kaddadah,13.6017,26.6876,311.52,6,0,7.17,SD,1621775788
sturgis,41.7992,-85.4192,297.12,88,40,3.09,US,1621775618
bambous virieux,-20.3428,57.7575,297.71,72,75,6.77,MU,1621775790
namatanai,-3.6667,152.4333,298.92,89,100,4.73,PG,1621775791
east london,-33.0153,27.9116,295.67,40,0,3.6,ZA,1621775793
komsomolskiy,40.4272,71.7189,301.55,24,100,2.06,UZ,1621775794
lekoni,-1.5843,14.2591,302.98,58,64,1.05,GA,1621775795
talnakh,69.4865,88.3972,276.53,100,100,4.28,RU,1621775797
sinnamary,5.3833,-52.95,300.16,86,20,4.65,GF,1621775799
saint-georges,12.0564,-61.7485,301.97,79,100,8.75,GD,1621775800
youghal,51.95,-7.8506,284.31,78,100,7.38,IE,1621775802
bijie,27.3125,105.2942,286.45,93,100,1.64,CN,1621775803
ereymentau,51.6199,73.1033,301.45,31,8,0.9,KZ,1621775804
puerto escondido,15.85,-97.0667,299.61,78,1,3.6,MX,1621775805
seymchan,62.8833,152.4333,279.19,78,57,2.06,RU,1621775807
anadyr,64.75,177.4833,274.43,86,0,2.68,RU,1621775808
mount isa,-20.7333,139.5,289.02,51,5,0.0,AU,1621775809
xuddur,4.1213,43.8894,302.19,46,90,7.17,SO,1621775811
iqaluit,63.7506,-68.5145,264.0,66,75,10.73,CA,1621775812
klaksvik,62.2266,-6.589,282.66,76,100,4.31,FO,1621775813
tacuarembo,-31.7333,-55.9833,283.49,88,100,10.21,UY,1621775814
homer,59.6425,-151.5483,280.95,92,1,1.54,US,1621775816
souillac,-20.5167,57.5167,297.79,76,75,6.8,MU,1621775818
tuatapere,-46.1333,167.6833,283.05,88,100,1.04,NZ,1621775819
les cayes,18.2,-73.75,300.52,66,100,2.16,HT,1621775821
vila velha,-20.3297,-40.2925,301.12,65,0,3.09,BR,1621775523
